gender;age;goal;career;expnum
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;21;To meet new people;Lawyer;2
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;24;Seemed like a fun night out;Lawyer;5
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;25;Other;Economist;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;21;To meet new people;Lawyer;10
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;23;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;22;Seemed like a fun night out;Lawyer;3
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;25;Seemed like a fun night out;Journalist;10
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;Seemed like a fun night out;Other;15
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Femme;26;To meet new people;Other;10
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;27;Seemed like a fun night out;Research;3
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;Seemed like a fun night out;Lawyer;20
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;22;To meet new people;Lawyer;4
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;23;To meet new people;Lawyer;15
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;24;Seemed like a fun night out;Lawyer;9
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;25;Seemed like a fun night out;Research;10
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;30;To get a date;Journalism;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;27;Seemed like a fun night out;Banking;2
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;28;Looking for a serious relationship;Banking;20
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Homme;24;Seemed like a fun night out;Banking;19
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;21;Other;Undecided;0
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;27;Seemed like a fun night out;Engineer;2
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;21;Seemed like a fun night out;Psychologist;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;27;To meet new people;Doctor;3
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;25;Seemed like a fun night out;Humanitarian;4
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;23;Seemed like a fun night out;Humanitarian;10
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Doctor;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;22;Seemed like a fun night out;Humanitarian;4
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;23;Seemed like a fun night out;Lawyer;2
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;24;Seemed like a fun night out;Lawyer;4
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;27;Seemed like a fun night out;Research;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;30;Other;Journalism;0
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;21;Seemed like a fun night out;Banking;5
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;25;Seemed like a fun night out;Banking;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;26;To meet new people;Research;8
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;27;To meet new people;Banking;3
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;23;Seemed like a fun night out;Lawyer;12
Femme;24;To say « i did it »;Lawyer;5
Femme;24;To say « i did it »;Lawyer;5
Femme;24;To say « i did it »;Lawyer;5
Femme;24;To say « i did it »;Lawyer;5
Femme;24;To say « i did it »;Lawyer;5
